line_id,name,sequence,status,lat,lon
LG_2,LG18潭底,10,Planning,24.996,121.42
LG_2,LG19監理所,11,Planning,25.005,121.415
LG_2,LG20三俊,12,Planning,25.012,121.412
LG_2,LG21迴龍,13,Planning,25.0216,121.4114
LB,LB01頂埔,0,Construction,24.9593,121.419
LB,LB02媽祖田,1,Construction,24.9534469,121.4121948
LB,LB03長壽山,2,Construction,24.9441682,121.402608
LB,LB04橫溪,3,Construction,24.9374776,121.3912624
LB,LB05龍埔,4,Construction,24.9398666,121.3845443
LB,LB06三峽,5,Construction,24.9389319,121.3764088
LB,LB07台北大學,6,Construction,24.9389961,121.3669961
LB,LB08鶯歌車站,7,Construction,24.9532223,121.3564911
LB,LB09陶瓷老街,8,Construction,24.9525949,121.3495227
LB,LB10國華,9,Construction,24.9545865,121.3423649
LB,LB11永吉公園,10,Construction,24.9607799,121.3344573
LB,LB12鶯桃福德,11,Construction,24.966756,121.3298006
Y_North,新北產業園區,0,Planning,25.061081616149394,121.45957785560668
Y_North,Y20工商展覽中心,1,Planning,25.0680037,121.4523253
Y_North,Y21更寮,2,Planning,25.074952,121.4612357
Y_North,Y22中路,3,Planning,25.0770621,121.4692053
Y_North,Y23徐匯中學,4,Planning,25.0808,121.4796
Y_North,Y24分子尾,5,Planning,25.0889868,121.4860498
Y_North,Y25重陽橋,6,Planning,25.0882095,121.4928412
Y_North,Y26社子,7,Planning,25.0876202,121.5107475
Y_North,Y27福德洋,8,Planning,25.0929744,121.5193825
Y_North,Y28士林,9,Planning,25.0951411,121.5251546
Y_North,Y29林子口,10,Planning,25.0964285,121.5312432
Y_North,Y30故宮,11,Planning,25.0984173,121.5470393
Y_North,Y31劍南路,12,Planning,25.0847,121.5556
Y_South,動物園,0,Planning,24.99827748528025,121.57932507629135
Y_South,Y01A政大,1,Planning,24.9880349,121.5777139
Y_South,Y02文山區公所,2,Planning,24.9898752,121.5707848
Y_South,Y03馬明潭,3,Planning,24.9887676,121.5610091
Y_South,Y04溝子口,4,Planning,24.987623,121.5511291
Y_South,Y05寶斗厝,5,Planning,24.9836659,121.5494778
Y_South,大坪林,6,Planning,24.982913833396648,121.5413660346038
G_Taoyuan,G01建德興豐,0,Construction,24.9307004,121.2810229
G_Taoyuan,G02仁德公園,1,Construction,24.9374246,121.2894746
G_Taoyuan,G03巧克力,2,Construction,24.9433904,121.2974763
G_Taoyuan,G04大湳,3,Construction,24.9558247,121.2989221
G_Taoyuan,G05小大湳,4,Construction,24.9684165,121.3012137
G_Taoyuan,G06陽明運動公園,	5,Construction,24.9803336,121.3055507
G_Taoyuan,G07桃園車站,6,Construction,24.9890182,121.3135591
G_Taoyuan,G08景福宮,7,Construction,24.9966906,121.3097907
G_Taoyuan,G09中正力行,8,Construction,25.0037234,121.3053403
G_Taoyuan,G10中正大興,9,Construction,25.0123791,121.3002742
G_Taoyuan,G11藝文特區,10,Construction,25.0178924,121.2976883
G_Taoyuan,G12蘆興埤,11,Construction,25.0284785,121.2927535
G_Taoyuan,G13南竹中正北,12,Construction,25.0390259,121.2823091
G_Taoyuan,G14蘆竹中正北,13,Construction,25.0493362,121.275784
G_Taoyuan,G15水尾,14,Construction,25.0630469,121.2656621
G_Taoyuan,G15a菓林,15,Construction,25.07787,121.2596412
G_Taoyuan,G15b坑口,16,Construction,25.0862775,121.2662933
R_East,象山,0,Construction,25.032793324340496,121.57066633691176
R_East,R03廣慈/奉天宮,1,Construction,25.0384,121.5833
TRA_West,基隆,0,Operating,25.13191,121.73837
TRA_West,三坑,1,Operating,25.12305,121.74202
TRA_West,八堵,2,Operating,25.10838,121.72904
TRA_West,七堵,3,Operating,25.09294,121.71415
TRA_West,百福,4,Operating,25.07795,121.69379
TRA_West,五堵,5,Operating,25.07799,121.66758
TRA_West,汐止,6,Operating,25.0679,121.66113
TRA_West,汐科,7,Operating,25.06358,121.65057
TRA_West,南港(台鐵),8,Operating,25.05348,121.60706
TRA_West,松山(台鐵),9,Operating,25.04927,121.57906
TRA_West,臺北,10,Operating,25.04775,121.51711
TRA_West,萬華,11,Operating,25.03342,121.50081
TRA_West,板橋(台鐵),12,Operating,25.01434,121.46377
TRA_West,浮洲,13,Operating,25.00419,121.44477
TRA_West,樹林,14,Operating,24.99123,121.42442
TRA_West,南樹林,15,Operating,24.98044,121.40884
TRA_West,山佳,16,Operating,24.97273,121.39254
TRA_West,鶯歌,17,Operating,24.95455,121.35517
TRA_West,鳳鳴,18,Operating,24.97268,121.33658
TRA_West,桃園,19,Operating,24.98902,121.314
TRA_West,內壢,20,Operating,24.97281,121.25826
TRA_West,中壢,21,Operating,24.95321,121.22531
TRA_West,埔心,22,Operating,24.9197,121.18321
TRA_West,楊梅,23,Operating,24.91427,121.14637
TRA_West,富岡,24,Operating,24.93445,121.08308
TRA_East,八堵,0,Operating,25.10838,121.72904
TRA_East,暖暖,1,Operating,25.10231,121.74031
TRA_East,四腳亭,2,Operating,25.10281,121.76195
TRA_East,瑞芳,3,Operating,25.10893,121.80624
TRA_East,猴硐,4,Operating,25.08702,121.82743
TRA_East,三貂嶺,5,Operating,25.074,121.82743
TRA_East,牡丹,6,Operating,25.05871,121.85197
TRA_East,雙溪,7,Operating,25.03851,121.86654
TRA_East,貢寮,8,Operating,25.02197,121.90879
TRA_East,福隆,9,Operating,25.01595,121.94471
